img,detectada,tempo_ms,score_ocr,score_det,cer_tensao,correto_tensao,cer_potencia,correto_potencia,cer_frequencia,correto_frequencia,cer_grau_ip,correto_grau_ip,cer_data_fab,correto_data_fab,placa_100pct_correta
test_0098.jpg,True,10427.5,53.1,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0008.jpg,True,10807.0,49.6,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0025.jpg,True,1495.7,0.0,96.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0105.jpg,True,1519.7,0.0,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0032.jpg,True,8205.7,51.0,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0153.jpg,True,12122.3,43.8,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0031.jpg,True,26885.8,47.3,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0066.jpg,True,1440.2,0.0,97.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0043.jpg,True,1464.6,0.0,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0081.jpg,True,31007.5,44.5,98.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0145.jpg,True,4774.4,48.2,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0109.jpg,True,2206.5,40.0,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0015.jpg,True,41527.4,41.9,97.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0107.jpg,True,5318.9,64.8,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0119.jpg,True,40549.4,37.0,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0088.jpg,True,6072.9,54.9,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0141.jpg,True,4206.4,54.5,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0079.jpg,True,4252.4,45.7,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0011.jpg,True,5759.6,42.0,97.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0174.jpg,True,1690.9,34.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0173.jpg,True,7887.3,43.4,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0086.jpg,True,28795.3,44.2,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0099.jpg,True,26498.2,45.2,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0063.jpg,True,2891.5,61.0,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0092.jpg,True,7235.6,61.0,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0170.jpg,True,1453.2,0.0,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0040.jpg,True,1766.8,56.0,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0163.jpg,True,14128.5,43.2,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0155.jpg,True,28725.1,42.9,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0156.jpg,True,5954.3,56.7,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0045.jpg,True,2464.6,73.0,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0179.jpg,True,6622.4,56.8,96.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0012.jpg,True,1597.2,53.0,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0047.jpg,True,35150.1,41.2,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0085.jpg,True,2118.2,65.8,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0143.jpg,True,24950.6,45.5,97.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0089.jpg,True,1674.0,46.0,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0033.jpg,True,1479.5,0.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0076.jpg,True,4756.8,56.8,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0058.jpg,True,2622.2,57.5,96.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0136.jpg,True,1584.5,68.6,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0124.jpg,True,1542.6,0.0,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0115.jpg,True,2519.2,51.0,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0023.jpg,True,3424.7,46.6,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0113.jpg,True,1914.1,50.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0178.jpg,True,6161.4,46.0,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0164.jpg,True,2133.8,48.0,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0154.jpg,True,9686.1,51.8,96.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0007.jpg,True,1496.4,0.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0132.jpg,True,4698.2,53.3,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0003.jpg,True,3337.6,54.0,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0061.jpg,True,12103.7,55.9,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0106.jpg,True,15234.3,51.6,96.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0100.jpg,True,1481.4,0.0,97.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0055.jpg,True,7721.6,57.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0167.jpg,True,2509.4,50.3,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0114.jpg,True,7766.4,45.4,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0016.jpg,True,5743.9,54.6,96.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0172.jpg,True,29631.8,42.8,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0084.jpg,True,15579.9,47.2,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0110.jpg,True,1786.0,51.3,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0160.jpg,True,5129.4,59.9,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0026.jpg,True,1736.9,0.0,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0162.jpg,True,28258.1,41.9,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0102.jpg,True,1716.0,76.3,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0059.jpg,True,9291.1,47.3,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0158.jpg,True,21022.9,42.3,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0048.jpg,True,1604.8,14.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0068.jpg,True,1443.0,0.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0056.jpg,True,6565.3,54.3,97.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0137.jpg,True,24120.0,40.2,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0083.jpg,True,4535.9,89.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0146.jpg,True,21900.1,42.1,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0069.jpg,True,2313.6,75.0,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0082.jpg,True,18479.7,49.6,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0126.jpg,True,24280.9,46.6,96.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0064.jpg,True,11150.1,54.0,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0027.jpg,True,20823.3,51.0,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0067.jpg,True,3427.1,59.7,95.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0175.jpg,True,23064.1,46.7,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0149.jpg,True,6762.8,45.7,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0150.jpg,True,4217.3,40.4,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0021.jpg,True,5509.6,51.2,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0052.jpg,True,4007.3,46.1,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0035.jpg,True,6654.5,54.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0024.jpg,True,3170.2,56.0,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0093.jpg,True,20479.6,47.6,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0017.jpg,True,24569.7,40.8,96.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0042.jpg,True,2497.2,65.0,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0041.jpg,True,6317.4,35.4,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0009.jpg,True,6954.6,51.7,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0130.jpg,True,1950.2,0.0,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0161.jpg,True,2163.2,31.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0165.jpg,True,19637.8,44.6,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0166.jpg,True,25082.5,44.1,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0139.jpg,True,2697.0,70.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0142.jpg,True,25203.8,43.4,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0127.jpg,True,7338.9,49.8,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0152.jpg,True,2354.5,58.5,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0053.jpg,True,2690.0,50.5,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0071.jpg,True,5419.1,55.4,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0039.jpg,True,1463.2,0.0,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0101.jpg,True,25502.0,45.9,96.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0135.jpg,True,1747.0,14.0,97.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0129.jpg,True,2804.0,71.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0001.jpg,True,18745.7,46.7,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0151.jpg,True,1423.9,0.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0060.jpg,True,3580.3,57.0,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0006.jpg,True,4065.4,45.9,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0138.jpg,True,18655.7,39.5,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0128.jpg,True,43182.8,38.6,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0169.jpg,True,1490.4,0.0,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0091.jpg,True,25324.8,49.3,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0176.jpg,True,1521.5,0.0,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0177.jpg,True,8435.7,47.1,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0036.jpg,True,1493.4,0.0,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0111.jpg,True,7771.2,55.8,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0034.jpg,True,4427.7,52.0,96.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0044.jpg,True,41415.8,40.7,96.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0096.jpg,True,4346.3,64.0,97.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0054.jpg,True,18646.3,43.5,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0087.jpg,True,7682.1,55.1,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0108.jpg,True,22656.9,43.9,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0123.jpg,True,1660.2,45.6,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0148.jpg,True,8735.5,50.7,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0120.jpg,True,30462.1,41.0,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0010.jpg,True,2002.1,60.3,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0030.jpg,True,11335.1,50.6,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0117.jpg,True,2059.7,65.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0029.jpg,True,18567.4,46.4,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0075.jpg,True,1873.6,57.0,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0065.jpg,True,1590.5,74.0,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0095.jpg,True,7148.5,45.2,96.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0005.jpg,True,1656.4,50.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0171.jpg,True,1600.7,12.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0049.jpg,True,6547.7,51.0,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0074.jpg,True,3721.8,61.4,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0073.jpg,True,7525.1,46.2,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0020.jpg,True,24921.2,45.1,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0121.jpg,True,3478.6,46.2,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0122.jpg,True,3506.0,69.6,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0004.jpg,True,1437.4,0.0,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0002.jpg,True,7536.1,52.1,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0077.jpg,True,1508.2,0.0,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0019.jpg,True,1429.0,0.0,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0112.jpg,True,3791.7,60.1,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0080.jpg,True,7295.6,55.9,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0090.jpg,True,5843.8,44.8,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0070.jpg,True,4097.4,48.6,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0050.jpg,True,5189.8,55.2,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0062.jpg,True,14927.1,46.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0094.jpg,True,1684.2,49.0,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0013.jpg,True,30710.8,46.4,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0072.jpg,True,25267.8,48.9,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0159.jpg,True,26772.5,44.3,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0157.jpg,True,1773.0,57.0,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0046.jpg,True,5432.4,63.5,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0018.jpg,True,40003.8,39.6,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0078.jpg,True,1530.5,0.0,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0038.jpg,True,15825.1,45.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0037.jpg,True,9406.8,47.8,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0147.jpg,True,6351.0,38.6,96.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0118.jpg,True,1481.1,0.0,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0097.jpg,True,35508.5,40.6,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0168.jpg,True,5978.0,52.4,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0131.jpg,True,38322.2,39.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0057.jpg,True,1639.1,86.0,97.7,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0000.jpg,True,7593.1,60.0,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0103.jpg,True,2382.9,46.7,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0134.jpg,True,34339.2,43.8,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0022.jpg,True,12616.6,53.3,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0116.jpg,True,1456.8,0.0,97.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0104.jpg,True,4676.0,61.6,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0014.jpg,True,5759.2,65.0,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0140.jpg,True,2225.3,51.2,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0125.jpg,True,32162.9,44.6,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0028.jpg,True,2159.2,56.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0051.jpg,True,11353.0,49.6,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0144.jpg,True,25127.3,43.7,96.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0133.jpg,True,1519.0,32.0,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
